playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8478048,2024,Igor Shesterkin,NYR,G,other,21,2448.0,5.89,8.0,59.0,2.63,2.0,7.22,2.0,35.19,34.0,0.6,0.0,19.05,17.0,10.09,17.0,5.72,26.0,10.0,10.0,0.94,1.16,3.79,2.0,0.0,6.0,13.0,0.0,0.0
8478048,2024,Igor Shesterkin,NYR,G,all,21,73269.0,66.69,59.0,1304.0,49.25,71.0,171.45,123.0,712.44,660.0,21.37,2.0,379.99,272.0,269.32,435.0,63.89,699.0,188.0,73.0,19.84,24.0,22.86,23.0,22.0,14.0,344.0,2.0,1.0
8478048,2024,Igor Shesterkin,NYR,G,5on5,21,58822.0,49.65,45.0,1047.0,36.64,52.0,139.96,99.0,564.67,523.0,16.55,2.0,299.3,205.0,219.89,363.0,48.19,557.0,160.0,47.0,15.99,20.61,13.04,20.0,20.0,5.0,283.0,2.0,1.0
8478048,2024,Igor Shesterkin,NYR,G,4on5,21,6681.0,9.99,6.0,175.0,9.44,16.0,22.45,22.0,99.79,92.0,0.76,0.0,57.77,48.0,30.11,41.0,8.84,101.0,17.0,15.0,2.4,2.1,5.5,1.0,2.0,3.0,42.0,0.0,0.0
8478048,2024,Igor Shesterkin,NYR,G,5on4,21,5318.0,1.16,0.0,23.0,0.54,1.0,1.83,0.0,12.8,11.0,3.46,0.0,3.86,2.0,9.23,14.0,1.13,15.0,1.0,1.0,0.5,0.13,0.53,0.0,0.0,0.0,6.0,0.0,0.0
8478872,2024,Karel Vejmelka,UTA,G,other,16,1645.0,4.17,3.0,54.0,2.13,2.0,5.47,3.0,28.19,25.0,0.22,0.0,16.95,15.0,8.28,15.0,3.64,21.0,10.0,7.0,0.73,1.34,2.11,1.0,1.0,1.0,16.0,0.0,0.0
8478872,2024,Karel Vejmelka,UTA,G,all,16,54937.0,50.09,36.0,905.0,30.69,36.0,113.61,89.0,469.15,436.0,15.0,5.0,249.78,234.0,177.09,240.0,47.24,447.0,137.0,53.0,13.82,17.23,19.03,11.0,8.0,17.0,268.0,0.0,0.0
8478872,2024,Karel Vejmelka,UTA,G,5on5,16,44431.0,28.83,19.0,673.0,20.89,28.0,87.7,72.0,342.48,318.0,12.78,5.0,181.6,162.0,138.37,187.0,28.2,351.0,94.0,24.0,10.41,11.97,6.46,8.0,6.0,5.0,204.0,0.0,0.0
8478872,2024,Karel Vejmelka,UTA,G,4on5,16,4761.0,16.28,13.0,167.0,7.38,6.0,19.23,14.0,92.14,86.0,0.35,0.0,49.31,53.0,26.87,35.0,14.6,72.0,29.0,21.0,2.59,3.48,10.2,2.0,0.0,11.0,45.0,0.0,0.0
8478872,2024,Karel Vejmelka,UTA,G,5on4,16,4100.0,0.49,0.0,8.0,0.17,0.0,0.75,0.0,3.92,4.0,1.65,0.0,1.07,3.0,2.38,2.0,0.49,3.0,1.0,1.0,0.1,0.14,0.26,0.0,0.0,0.0,3.0,0.0,0.0
